Day,Platform,Campaign Type,Campaign Name,Impressions,Clicks,Conversions,Revenue,Spend,Region,CTR,CPA,CPC,ROAS,CPM,AdCreative
01/01/23,YouTube,Retargeting,Retargeting-YouTube,46373,1722,51,"$6,887.01","$2,484.94",South East,4.0%,$48.72,$0.69,$2.77,$5.36,CreativeC
01/01/23,Instagram,Retargeting,Retargeting-Instagram,116503,569,113,"$15,050.16",$325.87,Yorkshire and the Humber,0.0%,$2.88,$1.75,$46.18,$0.28,CreativeC
01/01/23,SnapChat,Retargeting,Retargeting-SnapChat,53473,435,38,"$8,711.35","$2,761.98",South West,1.0%,$72.68,$0.16,$3.15,$5.17,CreativeA
01/01/23,Instagram,Retargeting,Retargeting-Instagram,30913,878,99,"$8,027.44","$4,460.01",West Midlands,3.0%,$45.05,$0.20,$1.80,$14.43,CreativeB
01/01/23,SnapChat,Prospecting,Prospecting-SnapChat,12871,197,59,"$6,332.90","$1,749.13",London,2.0%,$29.65,$0.11,$3.62,$13.59,CreativeC
01/01/23,YouTube,Retargeting,Retargeting-YouTube,21822,2365,195,"$3,839.86","$5,228.07",South West,11.0%,$26.81,$0.45,$0.73,$23.96,CreativeA
01/01/23,Facebook,Prospecting,Prospecting-Facebook,12776,1801,203,"$5,437.52","$3,897.58",East Midlands,14.0%,$19.20,$0.46,$1.40,$30.51,CreativeB
01/01/23,SnapChat,Retargeting,Retargeting-SnapChat,96501,1777,198,"$9,612.46","$7,797.06",North West,2.0%,$39.38,$0.23,$1.23,$8.08,CreativeA
01/01/23,Instagram,Retargeting,Retargeting-Instagram,44216,178,45,"$6,180.07","$3,082.45",Wales,0.0%,$68.50,$0.06,$2.00,$6.97,CreativeB
01/01/23,YouTube,Retargeting,Retargeting-YouTube,24103,3679,83,"$1,399.18","$3,361.80",South West,15.0%,$40.50,$1.09,$0.42,$13.95,CreativeC
01/01/23,SnapChat,Retargeting,Retargeting-SnapChat,64327,73,128,"$2,891.13","$6,666.99",West Midlands,0.0%,$52.09,$0.01,$0.43,$10.36,CreativeB
01/01/23,Facebook,Retargeting,Retargeting-Facebook,76314,697,35,"$3,390.02",$112.41,Wales,1.0%,$3.21,$6.20,$30.16,$0.15,CreativeA
01/01/23,Facebook,Prospecting,Prospecting-Facebook,67078,63,237,"$7,914.52","$2,362.89",East of England,0.0%,$9.97,$0.03,$3.35,$3.52,CreativeB
01/01/23,TikTok,Prospecting,Prospecting-TikTok,55608,1849,66,"$10,816.55","$6,313.97",West Midlands,3.0%,$95.67,$0.29,$1.71,$11.35,CreativeB
01/01/23,TikTok,Prospecting,Prospecting-TikTok,79181,1636,228,"$7,780.53","$1,856.48",East Midlands,2.0%,$8.14,$0.88,$4.19,$2.34,CreativeA
01/01/23,Instagram,Retargeting,Retargeting-Instagram,21533,1033,241,"$1,036.57","$3,720.96",North West,5.0%,$15.44,$0.28,$0.28,$17.28,CreativeA
01/01/23,SnapChat,Prospecting,Prospecting-SnapChat,17571,405,17,"$9,566.23",$605.33,East of England,2.0%,$35.61,$0.67,$15.80,$3.45,CreativeB
01/01/23,SnapChat,Retargeting,Retargeting-SnapChat,52782,3376,131,"$7,377.02","$5,681.92",East Midlands,6.0%,$43.37,$0.59,$1.30,$10.76,CreativeB
01/01/23,TikTok,Retargeting,Retargeting-TikTok,43104,2175,18,$837.80,"$8,192.39",Northern Ireland,5.0%,$455.13,$0.27,$0.10,$19.01,CreativeA
01/01/23,SnapChat,Prospecting,Prospecting-SnapChat,30045,1152,25,"$5,717.10","$3,344.27",East of England,4.0%,$133.77,$0.34,$1.71,$11.13,CreativeB
01/01/23,SnapChat,Prospecting,Prospecting-SnapChat,33937,2969,54,"$1,219.32",$596.23,Yorkshire and the Humber,9.0%,$11.04,$4.98,$2.05,$1.76,CreativeA
01/01/23,Facebook,Retargeting,Retargeting-Facebook,4762,1485,220,"$11,284.85","$2,718.30",Wales,31.0%,$12.36,$0.55,$4.15,$57.08,CreativeC
01/01/23,TikTok,Retargeting,Retargeting-TikTok,81736,2299,50,"$1,764.13","$5,919.09",South East,3.0%,$118.38,$0.39,$0.30,$7.24,CreativeA
01/01/23,YouTube,Prospecting,Prospecting-YouTube,77773,229,25,"$1,027.64","$2,217.59",Northern Ireland,0.0%,$88.70,$0.10,$0.46,$2.85,CreativeC
01/01/23,TikTok,Retargeting,Retargeting-TikTok,26503,700,69,"$11,503.58","$2,906.22",London,3.0%,$42.12,$0.24,$3.96,$10.97,CreativeC
01/01/23,YouTube,Prospecting,Prospecting-YouTube,32771,3086,50,"$9,838.18","$1,478.44",North West,9.0%,$29.57,$2.09,$6.65,$4.51,CreativeC
01/01/23,Facebook,Prospecting,Prospecting-Facebook,42040,1337,182,"$3,581.44","$4,749.80",Northern Ireland,3.0%,$26.10,$0.28,$0.75,$11.30,CreativeB
01/01/23,Instagram,Retargeting,Retargeting-Instagram,67654,983,10,"$10,136.35","$4,130.90",London,1.0%,$413.09,$0.24,$2.45,$6.11,CreativeB
01/01/23,SnapChat,Retargeting,Retargeting-SnapChat,61485,3414,12,"$13,075.18",$700.44,North West,6.0%,$58.37,$4.87,$18.67,$1.14,CreativeA
01/01/23,Facebook,Retargeting,Retargeting-Facebook,47790,784,244,"$3,820.08","$4,844.53",North West,2.0%,$19.85,$0.16,$0.79,$10.14,CreativeB
01/01/23,SnapChat,Retargeting,Retargeting-SnapChat,76036,3261,60,"$7,170.67",$450.84,East of England,4.0%,$7.51,$7.23,$15.91,$0.59,CreativeA
01/01/23,Instagram,Prospecting,Prospecting-Instagram,74172,7,176,"$8,330.09","$1,360.11",Wales,0.0%,$7.73,$0.01,$6.12,$1.83,CreativeC
01/01/23,Instagram,Retargeting,Retargeting-Instagram,97621,2251,144,"$15,016.17","$1,696.61",North East,2.0%,$11.78,$1.33,$8.85,$1.74,CreativeA
01/01/23,Facebook,Prospecting,Prospecting-Facebook,58314,198,230,"$12,887.81","$5,702.38",North West,0.0%,$24.79,$0.03,$2.26,$9.78,CreativeB
01/01/23,Instagram,Prospecting,Prospecting-Instagram,25283,666,220,"$7,799.74","$4,282.89",East of England,3.0%,$19.47,$0.16,$1.82,$16.94,CreativeA
01/01/23,YouTube,Retargeting,Retargeting-YouTube,15695,1694,22,"$8,830.21","$2,628.42",Yorkshire and the Humber,11.0%,$119.47,$0.64,$3.36,$16.75,CreativeA
01/01/23,Instagram,Prospecting,Prospecting-Instagram,65353,1649,45,"$8,045.54",$350.22,London,3.0%,$7.78,$4.71,$22.97,$0.54,CreativeA
01/01/23,SnapChat,Retargeting,Retargeting-SnapChat,23961,3159,19,"$3,166.46",$552.20,Northern Ireland,13.0%,$29.06,$5.72,$5.73,$2.30,CreativeB
01/01/23,SnapChat,Retargeting,Retargeting-SnapChat,2643,481,46,"$3,348.94",$707.24,East Midlands,18.0%,$15.37,$0.68,$4.74,$26.76,CreativeC
01/01/23,SnapChat,Prospecting,Prospecting-SnapChat,32260,1472,44,"$7,839.05","$1,063.61",Scotland,5.0%,$24.17,$1.38,$7.37,$3.30,CreativeA
01/01/23,SnapChat,Prospecting,Prospecting-SnapChat,75703,1785,29,"$12,523.99","$2,863.64",Wales,2.0%,$98.75,$0.62,$4.37,$3.78,CreativeA
01/01/23,YouTube,Prospecting,Prospecting-YouTube,9862,3355,65,"$10,586.36","$4,036.88",West Midlands,34.0%,$62.11,$0.83,$2.62,$40.93,CreativeA
01/01/23,TikTok,Retargeting,Retargeting-TikTok,61438,622,71,$795.53,"$3,826.54",Scotland,1.0%,$53.89,$0.16,$0.21,$6.23,CreativeC
01/01/23,Facebook,Retargeting,Retargeting-Facebook,9944,1078,14,"$4,499.37","$3,386.48",East of England,11.0%,$241.89,$0.32,$1.33,$34.06,CreativeB
01/01/23,SnapChat,Prospecting,Prospecting-SnapChat,38519,2697,35,"$12,197.37","$5,783.88",Scotland,7.0%,$165.25,$0.47,$2.11,$15.02,CreativeB
01/01/23,Instagram,Retargeting,Retargeting-Instagram,41575,334,24,"$11,678.93","$6,329.14",North West,1.0%,$263.71,$0.05,$1.85,$15.22,CreativeB
01/01/23,SnapChat,Retargeting,Retargeting-SnapChat,32914,1030,88,"$6,272.28","$3,431.05",North East,3.0%,$38.99,$0.30,$1.83,$10.42,CreativeC
01/01/23,Instagram,Prospecting,Prospecting-Instagram,15052,2396,216,"$12,852.58","$2,931.58",East Midlands,16.0%,$13.57,$0.82,$4.38,$19.48,CreativeC
01/01/23,Instagram,Retargeting,Retargeting-Instagram,60779,1376,137,"$2,738.51",$416.91,Wales,2.0%,$3.04,$3.30,$6.57,$0.69,CreativeB
02/01/23,Instagram,Prospecting,Prospecting-Instagram,3056,158,252,"$15,021.77","$1,102.01",North East,5.0%,$4.37,$0.14,$13.63,$36.06,CreativeB
02/01/23,Facebook,Prospecting,Prospecting-Facebook,40491,198,233,"$14,308.31","$2,187.76",North East,0.0%,$9.39,$0.09,$6.54,$5.40,CreativeA
02/01/23,TikTok,Retargeting,Retargeting-TikTok,51173,2223,47,"$4,549.58","$3,967.90",Northern Ireland,4.0%,$84.42,$0.56,$1.15,$7.75,CreativeB
02/01/23,TikTok,Retargeting,Retargeting-TikTok,49911,252,74,"$1,431.33","$1,193.59",South West,1.0%,$16.13,$0.21,$1.20,$2.39,CreativeA
02/01/23,Facebook,Retargeting,Retargeting-Facebook,79854,1531,73,"$13,517.68","$5,746.31",Wales,2.0%,$78.72,$0.27,$2.35,$7.20,CreativeA
02/01/23,YouTube,Retargeting,Retargeting-YouTube,80086,310,13,"$9,628.96","$2,419.42",South East,0.0%,$186.11,$0.13,$3.98,$3.02,CreativeC
02/01/23,Facebook,Retargeting,Retargeting-Facebook,4939,1410,105,"$6,352.28","$1,037.82",South West,29.0%,$9.88,$1.36,$6.12,$21.01,CreativeA
02/01/23,Instagram,Retargeting,Retargeting-Instagram,25424,2045,204,"$4,275.10","$2,275.87",West Midlands,8.0%,$11.16,$0.90,$1.88,$8.95,CreativeC
02/01/23,Facebook,Prospecting,Prospecting-Facebook,49625,1465,112,"$1,150.02","$3,046.74",Yorkshire and the Humber,3.0%,$27.20,$0.48,$0.38,$6.14,CreativeB
02/01/23,TikTok,Retargeting,Retargeting-TikTok,4444,704,56,"$6,616.90","$2,031.12",Yorkshire and the Humber,16.0%,$36.27,$0.35,$3.26,$45.70,CreativeC
02/01/23,Facebook,Prospecting,Prospecting-Facebook,49466,1711,57,"$10,827.75",$204.97,East Midlands,3.0%,$3.60,$8.35,$52.83,$0.41,CreativeC
02/01/23,YouTube,Prospecting,Prospecting-YouTube,2471,423,32,"$5,480.08","$6,536.87",North East,17.0%,$204.28,$0.06,$0.84,$264.54,CreativeA
02/01/23,SnapChat,Retargeting,Retargeting-SnapChat,63971,1831,194,"$7,871.46","$2,912.20",West Midlands,3.0%,$15.01,$0.63,$2.70,$4.55,CreativeA
02/01/23,Facebook,Prospecting,Prospecting-Facebook,14177,1676,30,"$8,471.25","$1,327.82",East of England,12.0%,$44.26,$1.26,$6.38,$9.37,CreativeB
02/01/23,YouTube,Retargeting,Retargeting-YouTube,73587,3668,178,"$1,800.65","$7,242.62",South West,5.0%,$40.69,$0.51,$0.25,$9.84,CreativeC
02/01/23,YouTube,Prospecting,Prospecting-YouTube,65305,3418,135,"$3,271.06",$803.15,Northern Ireland,5.0%,$5.95,$4.26,$4.07,$1.23,CreativeA
02/01/23,TikTok,Retargeting,Retargeting-TikTok,7600,2499,140,"$8,630.53","$3,544.01",East of England,33.0%,$25.31,$0.71,$2.44,$46.63,CreativeA
02/01/23,YouTube,Prospecting,Prospecting-YouTube,94193,370,58,"$2,018.80","$2,190.99",London,0.0%,$37.78,$0.17,$0.92,$2.33,CreativeA
02/01/23,YouTube,Retargeting,Retargeting-YouTube,96335,584,11,"$10,469.33","$6,163.44",West Midlands,1.0%,$560.31,$0.09,$1.70,$6.40,CreativeC
02/01/23,YouTube,Prospecting,Prospecting-YouTube,68928,3273,85,"$4,655.12","$3,312.21",East Midlands,5.0%,$38.97,$0.99,$1.41,$4.81,CreativeA
02/01/23,YouTube,Retargeting,Retargeting-YouTube,16729,2162,30,"$5,637.39",$140.36,East Midlands,13.0%,$4.68,$15.40,$40.16,$0.84,CreativeA
02/01/23,Instagram,Prospecting,Prospecting-Instagram,41693,2400,39,"$1,726.47","$2,229.22",Scotland,6.0%,$57.16,$1.08,$0.77,$5.35,CreativeC
02/01/23,Instagram,Prospecting,Prospecting-Instagram,66156,2375,11,"$6,002.89","$3,068.78",South East,4.0%,$278.98,$0.77,$1.96,$4.64,CreativeA
02/01/23,TikTok,Prospecting,Prospecting-TikTok,86621,2605,15,"$9,687.31",$473.60,South West,3.0%,$31.57,$5.50,$20.45,$0.55,CreativeA
02/01/23,Facebook,Retargeting,Retargeting-Facebook,30269,1250,8,"$3,881.77","$2,598.79",Scotland,4.0%,$324.85,$0.48,$1.49,$8.59,CreativeC
02/01/23,YouTube,Retargeting,Retargeting-YouTube,76431,2369,13,"$4,893.40",$227.98,Scotland,3.0%,$17.54,$10.39,$21.46,$0.30,CreativeC
02/01/23,Facebook,Retargeting,Retargeting-Facebook,14604,82,10,"$11,433.87","$3,405.96",Wales,1.0%,$340.60,$0.02,$3.36,$23.32,CreativeB
02/01/23,Facebook,Retargeting,Retargeting-Facebook,55956,110,34,"$4,137.90","$3,508.86",Northern Ireland,0.0%,$103.20,$0.03,$1.18,$6.27,CreativeC
02/01/23,TikTok,Retargeting,Retargeting-TikTok,12370,461,27,"$11,343.88","$3,449.20",North West,4.0%,$127.75,$0.13,$3.29,$27.88,CreativeA
02/01/23,YouTube,Prospecting,Prospecting-YouTube,68085,2902,54,"$4,580.35","$1,394.61",South West,4.0%,$25.83,$2.08,$3.28,$2.05,CreativeA
02/01/23,YouTube,Retargeting,Retargeting-YouTube,81621,3961,14,"$9,553.37","$1,537.04",West Midlands,5.0%,$109.79,$2.58,$6.22,$1.88,CreativeC
02/01/23,SnapChat,Retargeting,Retargeting-SnapChat,50014,3047,42,"$5,785.82","$1,126.85",North West,6.0%,$26.83,$2.70,$5.13,$2.25,CreativeC
02/01/23,Facebook,Prospecting,Prospecting-Facebook,17476,1488,209,"$9,017.86","$3,433.37",Northern Ireland,9.0%,$16.43,$0.43,$2.63,$19.65,CreativeC
02/01/23,Facebook,Retargeting,Retargeting-Facebook,65018,45,39,"$4,765.73",$928.53,Wales,0.0%,$23.81,$0.05,$5.13,$1.43,CreativeB
02/01/23,Instagram,Retargeting,Retargeting-Instagram,43667,2059,76,"$2,229.87","$2,245.23",East Midlands,5.0%,$29.54,$0.92,$0.99,$5.14,CreativeB
02/01/23,SnapChat,Retargeting,Retargeting-SnapChat,3882,2423,42,"$10,879.94","$5,222.20",East Midlands,62.0%,$124.34,$0.46,$2.08,$134.52,CreativeC
02/01/23,Instagram,Retargeting,Retargeting-Instagram,52940,922,162,"$15,128.79","$1,018.15",London,2.0%,$6.28,$0.91,$14.86,$1.92,CreativeA
02/01/23,Instagram,Retargeting,Retargeting-Instagram,68777,1584,266,"$13,192.16","$2,920.16",North West,2.0%,$10.98,$0.54,$4.52,$4.25,CreativeA
02/01/23,Instagram,Retargeting,Retargeting-Instagram,33518,2203,46,"$7,323.49","$4,626.94",North West,7.0%,$100.59,$0.48,$1.58,$13.80,CreativeB
02/01/23,TikTok,Prospecting,Prospecting-TikTok,8416,2678,56,"$3,968.02","$1,694.06",Yorkshire and the Humber,32.0%,$30.25,$1.58,$2.34,$20.13,CreativeC
02/01/23,TikTok,Retargeting,Retargeting-TikTok,69782,188,54,"$4,474.92","$1,732.03",East Midlands,0.0%,$32.07,$0.11,$2.58,$2.48,CreativeC
02/01/23,Instagram,Retargeting,Retargeting-Instagram,52751,1511,34,"$15,869.24","$4,911.61",West Midlands,3.0%,$144.46,$0.31,$3.23,$9.31,CreativeA
02/01/23,SnapChat,Retargeting,Retargeting-SnapChat,26344,185,8,"$13,426.22","$6,869.57",North East,1.0%,$858.70,$0.03,$1.95,$26.08,CreativeC
02/01/23,Facebook,Prospecting,Prospecting-Facebook,22855,820,125,"$6,480.98","$5,150.13",North East,4.0%,$41.20,$0.16,$1.26,$22.53,CreativeA
02/01/23,SnapChat,Prospecting,Prospecting-SnapChat,62819,469,143,"$2,630.98",$600.75,South West,1.0%,$4.20,$0.78,$4.38,$0.96,CreativeA
02/01/23,YouTube,Prospecting,Prospecting-YouTube,20318,806,78,"$8,615.05","$6,369.38",North East,4.0%,$81.66,$0.13,$1.35,$31.35,CreativeB
02/01/23,TikTok,Prospecting,Prospecting-TikTok,17726,1787,60,"$1,120.30","$1,280.75",South East,10.0%,$21.35,$1.40,$0.87,$7.23,CreativeB
02/01/23,Facebook,Retargeting,Retargeting-Facebook,65363,157,122,"$8,604.70","$1,531.31",East of England,0.0%,$12.55,$0.10,$5.62,$2.34,CreativeA
02/01/23,Facebook,Prospecting,Prospecting-Facebook,30477,1711,49,"$2,828.40","$3,688.36",South West,6.0%,$75.27,$0.46,$0.77,$12.10,CreativeC
02/01/23,YouTube,Retargeting,Retargeting-YouTube,87248,2827,187,"$3,659.81","$4,340.51",North West,3.0%,$23.21,$0.65,$0.84,$4.97,CreativeA
02/01/23,YouTube,Retargeting,Retargeting-YouTube,86036,1776,161,"$9,437.75","$2,632.14",Northern Ireland,2.0%,$16.35,$0.67,$3.59,$3.06,CreativeB
02/01/23,Instagram,Retargeting,Retargeting-Instagram,5696,1348,224,"$13,538.66",$605.04,North East,24.0%,$2.70,$2.23,$22.38,$10.62,CreativeA
02/01/23,TikTok,Prospecting,Prospecting-TikTok,58860,199,69,"$3,711.66","$7,128.18",Yorkshire and the Humber,0.0%,$103.31,$0.03,$0.52,$12.11,CreativeA
02/01/23,TikTok,Retargeting,Retargeting-TikTok,80770,40,26,"$6,255.10","$1,705.83",South West,0.0%,$65.61,$0.02,$3.67,$2.11,CreativeA
02/01/23,SnapChat,Prospecting,Prospecting-SnapChat,5973,326,46,"$9,000.24","$4,364.98",North West,5.0%,$94.89,$0.07,$2.06,$73.08,CreativeB
02/01/23,Instagram,Retargeting,Retargeting-Instagram,102445,1309,232,"$11,776.93","$3,014.94",Scotland,1.0%,$13.00,$0.43,$3.91,$2.94,CreativeB
02/01/23,Instagram,Prospecting,Prospecting-Instagram,35912,1958,119,"$13,700.63","$1,262.23",North West,5.0%,$10.61,$1.55,$10.85,$3.51,CreativeA
02/01/23,Instagram,Prospecting,Prospecting-Instagram,73693,161,49,"$9,348.81","$1,093.03",East Midlands,0.0%,$22.31,$0.15,$8.55,$1.48,CreativeC
02/01/23,Instagram,Retargeting,Retargeting-Instagram,11956,2393,190,"$3,869.86","$3,397.56",North East,20.0%,$17.88,$0.70,$1.14,$28.42,CreativeB
02/01/23,TikTok,Retargeting,Retargeting-TikTok,79165,2989,32,"$5,358.19","$4,322.14",North West,4.0%,$135.07,$0.69,$1.24,$5.46,CreativeC
03/01/23,TikTok,Retargeting,Retargeting-TikTok,24622,95,62,"$12,570.22","$4,292.32",South East,0.0%,$69.23,$0.02,$2.93,$17.43,CreativeA
03/01/23,YouTube,Retargeting,Retargeting-YouTube,9769,1776,202,"$10,145.63","$8,770.62",Scotland,18.0%,$43.42,$0.20,$1.16,$89.78,CreativeB
03/01/23,YouTube,Retargeting,Retargeting-YouTube,74795,576,132,"$1,813.63","$3,694.08",West Midlands,1.0%,$27.99,$0.16,$0.49,$4.94,CreativeB
03/01/23,Instagram,Prospecting,Prospecting-Instagram,115518,1843,120,"$2,482.61","$3,658.01",North West,2.0%,$30.48,$0.50,$0.68,$3.17,CreativeC
03/01/23,TikTok,Prospecting,Prospecting-TikTok,67255,943,26,"$11,873.86","$4,322.98",North West,1.0%,$166.27,$0.22,$2.75,$6.43,CreativeB
03/01/23,TikTok,Retargeting,Retargeting-TikTok,16457,596,221,"$2,310.47","$4,399.47",London,4.0%,$19.91,$0.14,$0.53,$26.73,CreativeA
03/01/23,SnapChat,Prospecting,Prospecting-SnapChat,25616,2475,58,"$10,186.85","$3,972.74",Northern Ireland,10.0%,$68.50,$0.62,$2.56,$15.51,CreativeC
03/01/23,YouTube,Prospecting,Prospecting-YouTube,48361,2453,167,"$9,406.30",$898.51,North West,5.0%,$5.38,$2.73,$10.47,$1.86,CreativeA
03/01/23,Facebook,Retargeting,Retargeting-Facebook,37444,65,168,"$6,986.28","$1,397.66",Yorkshire and the Humber,0.0%,$8.32,$0.05,$5.00,$3.73,CreativeB
03/01/23,YouTube,Retargeting,Retargeting-YouTube,32347,2088,48,"$6,394.21",$729.86,West Midlands,6.0%,$15.21,$2.86,$8.76,$2.26,CreativeA
03/01/23,YouTube,Prospecting,Prospecting-YouTube,9986,3163,43,"$2,565.07",$372.17,East of England,32.0%,$8.66,$8.50,$6.89,$3.73,CreativeA
03/01/23,SnapChat,Prospecting,Prospecting-SnapChat,3373,1274,17,"$10,210.33","$1,125.78",Yorkshire and the Humber,38.0%,$66.22,$1.13,$9.07,$33.38,CreativeA
03/01/23,Facebook,Retargeting,Retargeting-Facebook,35023,146,29,"$3,338.73","$3,841.36",Northern Ireland,0.0%,$132.46,$0.04,$0.87,$10.97,CreativeC
03/01/23,SnapChat,Retargeting,Retargeting-SnapChat,107019,2694,31,"$6,128.69","$5,135.15",West Midlands,3.0%,$165.65,$0.52,$1.19,$4.80,CreativeB
03/01/23,Facebook,Prospecting,Prospecting-Facebook,46971,396,53,"$7,300.18","$7,081.61",Yorkshire and the Humber,1.0%,$133.62,$0.06,$1.03,$15.08,CreativeA
03/01/23,Instagram,Retargeting,Retargeting-Instagram,102550,1346,45,"$12,478.71","$6,939.38",East of England,1.0%,$154.21,$0.19,$1.80,$6.77,CreativeA
03/01/23,Facebook,Retargeting,Retargeting-Facebook,45690,36,156,"$12,929.69","$4,789.54",East of England,0.0%,$30.70,$0.01,$2.70,$10.48,CreativeC
03/01/23,SnapChat,Retargeting,Retargeting-SnapChat,66035,165,24,"$10,353.62","$7,137.18",London,0.0%,$297.38,$0.02,$1.45,$10.81,CreativeB
03/01/23,YouTube,Prospecting,Prospecting-YouTube,95964,3697,196,"$2,203.47","$5,476.41",East of England,4.0%,$27.94,$0.68,$0.40,$5.71,CreativeB
03/01/23,Facebook,Prospecting,Prospecting-Facebook,16564,1366,166,"$5,388.93","$2,300.10",North West,8.0%,$13.86,$0.59,$2.34,$13.89,CreativeC
03/01/23,Facebook,Retargeting,Retargeting-Facebook,20083,479,57,"$11,793.40","$4,067.05",South East,2.0%,$71.35,$0.12,$2.90,$20.25,CreativeC
03/01/23,TikTok,Prospecting,Prospecting-TikTok,86911,369,63,"$1,877.83","$7,955.23",London,0.0%,$126.27,$0.05,$0.24,$9.15,CreativeC
03/01/23,YouTube,Retargeting,Retargeting-YouTube,77456,326,209,"$5,356.08","$7,151.55",Northern Ireland,0.0%,$34.22,$0.05,$0.75,$9.23,CreativeA
03/01/23,Instagram,Prospecting,Prospecting-Instagram,51750,2456,11,"$13,231.16","$6,089.64",North East,5.0%,$553.60,$0.40,$2.17,$11.77,CreativeB
03/01/23,SnapChat,Prospecting,Prospecting-SnapChat,65837,79,13,"$5,331.22","$5,381.70",West Midlands,0.0%,$413.98,$0.01,$0.99,$8.17,CreativeA
03/01/23,Instagram,Prospecting,Prospecting-Instagram,97151,879,91,"$1,971.46","$5,388.09",West Midlands,1.0%,$59.21,$0.16,$0.37,$5.55,CreativeC
03/01/23,YouTube,Retargeting,Retargeting-YouTube,38326,101,141,"$3,817.90","$3,050.57",East of England,0.0%,$21.64,$0.03,$1.25,$7.96,CreativeB
03/01/23,Facebook,Retargeting,Retargeting-Facebook,79381,844,36,"$12,928.59","$3,754.30",London,1.0%,$104.29,$0.22,$3.44,$4.73,CreativeA
03/01/23,Facebook,Retargeting,Retargeting-Facebook,37229,668,117,"$1,975.32","$1,342.52",North West,2.0%,$11.47,$0.50,$1.47,$3.61,CreativeB
03/01/23,YouTube,Prospecting,Prospecting-YouTube,55070,863,133,"$6,178.14","$3,162.57",South East,2.0%,$23.78,$0.27,$1.95,$5.74,CreativeB
03/01/23,Facebook,Retargeting,Retargeting-Facebook,20879,515,49,"$1,658.44","$3,050.19",Northern Ireland,2.0%,$62.25,$0.17,$0.54,$14.61,CreativeB
03/01/23,Facebook,Retargeting,Retargeting-Facebook,27205,44,33,"$5,935.38","$3,868.94",Northern Ireland,0.0%,$117.24,$0.01,$1.53,$14.22,CreativeA
03/01/23,Facebook,Retargeting,Retargeting-Facebook,20648,328,59,"$9,853.55","$2,228.98",Yorkshire and the Humber,2.0%,$37.78,$0.15,$4.42,$10.80,CreativeB
03/01/23,SnapChat,Retargeting,Retargeting-SnapChat,98175,215,67,"$13,721.46","$5,546.17",East of England,0.0%,$82.78,$0.04,$2.47,$5.65,CreativeB
03/01/23,SnapChat,Prospecting,Prospecting-SnapChat,108783,1854,16,"$10,338.72","$2,649.59",West Midlands,2.0%,$165.60,$0.70,$3.90,$2.44,CreativeA
03/01/23,TikTok,Retargeting,Retargeting-TikTok,88712,958,177,"$12,758.16",$126.91,London,1.0%,$0.72,$7.55,$100.53,$0.14,CreativeB
03/01/23,Instagram,Retargeting,Retargeting-Instagram,10066,1038,31,"$7,711.35","$3,134.60",West Midlands,10.0%,$101.12,$0.33,$2.46,$31.14,CreativeC
03/01/23,YouTube,Prospecting,Prospecting-YouTube,92631,1759,15,"$7,868.82",$812.34,East of England,2.0%,$54.16,$2.17,$9.69,$0.88,CreativeA
